,上城,下城,江干,拱墅,西湖,滨江,之江,下沙,大江东,萧山,余杭,富阳,桐庐,建德,淳安,临安,合计
2017-01-13,596,4781,15666,10101,4207,5440,4559,4376,1824,18418,36407,7265,8716,4445,6957,4638,138396
2017-01-14,595,4651,15625,10111,4187,5435,4547,4373,1794,18266,36348,7163,8707,4445,6929,4605,137781
2017-01-15,595,4647,15597,10103,4170,5433,4543,4365,1748,18250,36312,7053,8700,4442,6924,4584,137466
2017-01-16,594,4644,15807,10082,4369,5426,4578,4390,1747,18216,36277,7329,8601,4421,6936,4552,137969
2017-01-17,593,4699,15875,10065,4357,5413,4574,4393,1735,18165,36252,7332,8553,4405,6906,4528,137845
2017-01-18,594,4760,15848,10058,4346,4910,4559,4391,1728,18104,36114,7248,8526,4394,6882,4490,136952
2017-01-19,594,4756,15847,10050,4333,4729,4548,4374,1717,18575,36153,7247,8515,4377,6861,4443,137119
2017-01-20,590,4755,15876,10044,4319,4707,4542,4364,1700,18509,36042,7189,8500,4416,6846,4415,136814
2017-01-21,590,4733,15859,10071,4307,4699,4538,4352,1693,18488,35972,7127,8494,4422,6819,4406,136570
2017-01-22,604,4731,15783,10082,4165,4691,4536,4653,1685,18465,35939,6673,8485,4410,6828,4394,136124
2017-01-23,604,4717,15750,10088,4164,4682,4521,4609,1683,18403,35911,6239,8571,4403,6813,4473,135631
2017-01-24,615,4709,15676,10063,4035,4679,4508,4604,1673,18355,35877,7005,8481,4393,6800,4461,135934
2017-01-25,615,4707,15666,10048,4028,4676,4499,4633,1667,18344,35864,6969,8447,4494,6790,4458,135905
2017-01-26,615,4707,15677,10050,4019,4671,4497,4634,1657,18331,35856,5711,8456,4490,6786,4456,134613
2017-01-27,615,4708,15679,10082,4019,4673,4497,4634,1657,18331,35856,5711,8454,4490,6789,4456,134651
2017-01-28,615,4708,15679,10087,4019,4679,4497,4634,1657,18331,35864,5713,8454,4490,6787,4456,134670
2017-01-29,615,4708,15678,10089,4019,4679,4497,4634,1657,18331,35876,5715,8454,4489,6787,4456,134684
2017-01-30,615,4708,15682,10093,4019,4679,4497,4634,1657,18331,35876,5715,8454,4490,6787,4456,134693
2017-01-31,615,4710,15684,10065,4017,4679,4497,4634,1657,18331,35876,5715,8451,4482,6787,4456,134656
2017-02-01,615,4710,15680,10048,4017,4679,4498,4634,1657,18331,35877,5715,8448,4481,6786,4456,134632
2017-02-02,615,4709,15678,10048,4020,4679,4498,4634,1657,18331,35875,5714,8444,4478,6783,4456,134619
2017-02-03,614,4708,15578,10216,4015,4676,4497,4634,1654,18364,35875,5706,8431,4475,6770,4451,134664
2017-02-04,614,4707,15569,10237,4014,4675,4496,4615,1647,18329,35857,5692,8764,4469,6751,4451,134887
2017-02-05,614,4701,15541,10229,4013,4674,4494,4601,1635,18300,35836,5681,8755,4462,6742,4451,134729
2017-02-06,612,4695,15522,10231,4089,4667,4493,4594,1614,18080,35802,5707,8741,4453,6728,4979,135007
2017-02-07,612,4742,15498,10388,4086,4662,4489,4589,1581,17947,35776,5697,8725,4443,6717,4968,134920
2017-02-08,611,4763,15463,10551,4075,4653,4483,4582,1552,17647,35847,5683,8371,4434,6785,4962,134462
2017-02-09,611,4827,15433,10543,4080,4652,4475,4568,1534,17594,35856,5670,8350,4425,6779,4956,134353
2017-02-10,611,4824,15387,10533,4072,4643,4469,4561,1524,17541,35805,5663,8332,4413,6761,4831,133970
2017-02-11,611,4815,15352,10526,4059,4635,4465,4548,1519,17464,35780,5660,8325,4410,6753,4827,133749
2017-02-12,611,4811,15300,10515,4048,4630,4462,4520,1517,17414,35759,5656,8318,4406,6744,4815,133526
2017-02-13,611,4819,15267,10532,4035,4627,4456,4512,1512,17370,35714,5646,8293,4391,6714,4798,133297
2017-02-14,611,4910,15230,10512,4026,4621,4444,4495,1505,17321,36321,5641,8278,4382,6685,4788,133770
2017-02-15,608,4907,15174,10484,4022,4607,4436,4485,1481,17221,36375,5634,8267,4366,6664,4770,133501
2017-02-16,606,4911,15160,10385,4014,4593,4424,4475,1463,17405,36131,5636,8284,4360,6646,4767,133260
2017-02-17,605,4923,15111,10318,3975,4577,4413,4464,1454,17403,36110,5633,8268,4352,6630,4711,132947
2017-02-18,604,4920,15076,10313,3957,4555,4400,4456,1445,17364,36035,5584,8258,4348,6620,4701,132636
2017-02-19,604,4912,15026,10296,3900,4548,4395,4451,1439,17301,35996,5541,8248,4339,6615,4697,132308
2017-02-20,601,4928,15000,10267,3903,4557,4385,4446,1424,17245,35912,5546,8219,4326,6589,4550,131898
2017-02-21,598,4946,14982,10254,3896,4533,4380,4438,1419,17235,35833,5512,8186,4331,6574,4130,131247
2017-02-22,598,4971,15660,10225,3901,4511,4372,4548,1393,17168,35719,5629,8172,4317,6566,4118,131868
2017-02-23,598,4975,15635,10405,3887,4495,4362,4533,1385,17352,36058,5609,8151,4325,6554,4098,132422
2017-02-24,598,4981,15595,10334,3865,4474,4347,4499,1373,17552,35969,5576,8139,4305,6539,4082,132228
2017-02-25,597,5006,15538,10281,3839,4461,4329,4476,1368,17397,35841,5561,8125,4292,6524,4074,131709
2017-02-26,596,4999,15526,10257,3817,4449,4313,4463,1360,17303,35741,5540,8105,4283,6504,4070,131326
2017-02-27,595,4989,15456,10178,3797,4400,4296,4337,1346,17170,35665,5580,8222,4256,6494,4053,130834
2017-02-28,575,4853,15374,10127,4061,4385,4260,4292,1328,17209,35778,5558,8197,4231,6464,4028,130720
2017-03-01,582,4870,15147,9818,4081,4376,4248,4289,1306,17344,35488,5539,8211,4214,6427,4045,129985
2017-03-02,571,4972,15066,9764,4061,4367,4239,4233,1501,17071,35409,5582,8196,4203,6382,4580,130197
2017-03-03,570,5094,15042,10178,4105,4348,4233,4195,1499,17078,35411,5560,8440,4192,6360,4764,131069
2017-03-04,570,5093,15010,10203,4087,4340,4235,4176,1501,17011,35331,5559,8418,4182,6348,4727,130791
2017-03-05,570,5093,14985,10177,4075,4327,4228,4157,1500,16936,35283,5552,8400,4179,6334,4727,130523
2017-03-06,569,5161,14947,10169,4071,4334,4210,4134,1476,16868,35210,5539,8377,4157,6314,4670,130206
2017-03-07,569,5199,14919,10147,4130,4323,4196,4148,1464,16870,35125,5522,8353,4163,6289,4635,130052
2017-03-08,576,5252,14886,10205,4112,4309,4185,4157,1461,16878,35019,5490,8359,4152,6268,4598,129907
2017-03-09,577,5306,14951,10193,4110,4314,4174,4134,1457,16733,36434,5473,8250,4135,6268,4563,131072
2017-03-10,559,5295,14777,9899,4085,4290,4160,4097,1449,17065,36306,5445,8253,4130,6251,4620,130681
2017-03-11,556,5284,14716,9903,4048,4274,4157,4073,1445,16909,36202,5432,8209,4111,6248,4442,130009
2017-03-12,556,5281,14648,9880,4037,4262,4156,4057,1357,16821,36095,5404,8187,4098,6231,4336,129406
2017-03-13,555,5281,14525,9761,4005,4211,4148,4014,1285,16628,35938,5370,8158,4080,6211,4295,128465
2017-03-14,556,5272,14404,9690,3994,4197,4130,3966,1411,16452,35840,5721,8102,4069,6199,4295,128298
2017-03-15,556,5262,14335,9762,3981,4349,4124,4065,1365,16512,35547,5688,8017,4058,6175,4295,128091
2017-03-16,555,5185,14667,9786,3975,4331,4114,3992,1396,16793,35836,5682,7956,4127,6159,3870,128424
2017-03-17,556,5178,14601,9748,3951,4306,4101,3972,1330,16668,35919,5728,7903,4135,6150,3838,128084
2017-03-18,565,5160,14701,9722,3937,4296,4092,3929,1276,16548,35803,5717,7885,4121,6139,3811,127702
2017-03-19,565,5161,14666,9685,3958,4283,4088,3853,1242,16461,35662,5710,7855,4114,6122,3780,127205
2017-03-20,561,5147,14603,9568,3924,4253,4084,3784,1226,16394,35580,5657,7798,4109,6098,3761,126547
2017-03-21,558,5150,14547,9580,3904,4241,4191,3810,1209,16089,35544,5639,7934,4100,6087,3721,126304
